name	year	value
Annual CO2 emissions of Brazil	1901	2.103136
Annual CO2 emissions of Brazil	1902	2.506176
Annual CO2 emissions of Brazil	1903	2.440224
Annual CO2 emissions of Brazil	1904	2.6197600000000003
Annual CO2 emissions of Brazil	1905	2.799296
Annual CO2 emissions of Brazil	1906	3.206
Annual CO2 emissions of Brazil	1907	3.4514880000000003
Annual CO2 emissions of Brazil	1908	3.5943840000000002
Annual CO2 emissions of Brazil	1909	3.6090400000000002
Annual CO2 emissions of Brazil	1910	4.198944
Annual CO2 emissions of Brazil	1911	4.605648
Annual CO2 emissions of Brazil	1912	5.591264000000001
Annual CO2 emissions of Brazil	1913	6.034608
Annual CO2 emissions of Brazil	1914	4.107344
Annual CO2 emissions of Brazil	1915	3.1437120000000003
Annual CO2 emissions of Brazil	1916	2.8799040000000002
Annual CO2 emissions of Brazil	1917	2.498848
Annual CO2 emissions of Brazil	1918	2.322976
Annual CO2 emissions of Brazil	1919	3.0704320000000003
Annual CO2 emissions of Brazil	1920	3.64568
Annual CO2 emissions of Brazil	1921	2.890896
Annual CO2 emissions of Brazil	1922	3.781248
Annual CO2 emissions of Brazil	1923	4.61664
Annual CO2 emissions of Brazil	1924	5.1039520000000005
Annual CO2 emissions of Brazil	1925	5.375088
Annual CO2 emissions of Brazil	1926	5.47768
Annual CO2 emissions of Brazil	1927	6.074912
Annual CO2 emissions of Brazil	1928	5.928352
Annual CO2 emissions of Brazil	1929	6.346048000000001
Annual CO2 emissions of Brazil	1930	5.5143200000000006
Annual CO2 emissions of Brazil	1931	4.169632
Annual CO2 emissions of Brazil	1932	4.169632
Annual CO2 emissions of Brazil	1933	4.722896
Annual CO2 emissions of Brazil	1934	4.6239680000000005
Annual CO2 emissions of Brazil	1935	5.510656
Annual CO2 emissions of Brazil	1936	5.14792
Annual CO2 emissions of Brazil	1937	6.089568
Annual CO2 emissions of Brazil	1938	6.096896
Annual CO2 emissions of Brazil	1939	5.950336
Annual CO2 emissions of Brazil	1940	6.488944
Annual CO2 emissions of Brazil	1941	6.28376
Annual CO2 emissions of Brazil	1942	5.869728
Annual CO2 emissions of Brazil	1943	6.477952
Annual CO2 emissions of Brazil	1944	5.89904
Annual CO2 emissions of Brazil	1945	6.8260320000000005
Annual CO2 emissions of Brazil	1946	7.463568
Annual CO2 emissions of Brazil	1947	8.951152
Annual CO2 emissions of Brazil	1948	7.851952000000001
Annual CO2 emissions of Brazil	1949	7.371968000000001
Annual CO2 emissions of Brazil	1950	19.664688
Annual CO2 emissions of Brazil	1951	21.665232
Annual CO2 emissions of Brazil	1952	24.940848000000003
Annual CO2 emissions of Brazil	1953	25.22664
Annual CO2 emissions of Brazil	1954	29.685728
Annual CO2 emissions of Brazil	1955	34.034896
Annual CO2 emissions of Brazil	1956	36.621680000000005
Annual CO2 emissions of Brazil	1957	35.987808
Annual CO2 emissions of Brazil	1958	39.069232
Annual CO2 emissions of Brazil	1959	39.017080297322835
Annual CO2 emissions of Brazil	1960	46.85182072944882
Annual CO2 emissions of Brazil	1961	49.144502684883285
Annual CO2 emissions of Brazil	1962	53.631449425359015
Annual CO2 emissions of Brazil	1963	55.550938286614176
Annual CO2 emissions of Brazil	1964	56.666676801466416
Annual CO2 emissions of Brazil	1965	56.329615571958286
Annual CO2 emissions of Brazil	1966	64.21163531679413
Annual CO2 emissions of Brazil	1967	66.0794082980504
Annual CO2 emissions of Brazil	1968	77.27137726011367
Annual CO2 emissions of Brazil	1969	84.13270940917208
Annual CO2 emissions of Brazil	1970	93.5304884035677
Annual CO2 emissions of Brazil	1971	102.35794116196305
Annual CO2 emissions of Brazil	1972	114.0143281488623
Annual CO2 emissions of Brazil	1973	132.0196098676461
Annual CO2 emissions of Brazil	1974	142.92731372465678
Annual CO2 emissions of Brazil	1975	150.513658443956
Annual CO2 emissions of Brazil	1976	154.3980748392004
Annual CO2 emissions of Brazil	1977	162.07833852319683
Annual CO2 emissions of Brazil	1978	175.93149638268812
Annual CO2 emissions of Brazil	1979	187.15507835460144
Annual CO2 emissions of Brazil	1980	185.75835368088747
Annual CO2 emissions of Brazil	1981	170.46791031719118
Annual CO2 emissions of Brazil	1982	170.78934533342203
Annual CO2 emissions of Brazil	1983	165.42693705615233
Annual CO2 emissions of Brazil	1984	167.60558893267114
Annual CO2 emissions of Brazil	1985	179.93677983588194
Annual CO2 emissions of Brazil	1986	197.2262170890033
Annual CO2 emissions of Brazil	1987	205.788741594842
Annual CO2 emissions of Brazil	1988	207.56296755195535
Annual CO2 emissions of Brazil	1989	212.11364365895167
Annual CO2 emissions of Brazil	1990	206.92112000000003
Annual CO2 emissions of Brazil	1991	217.2277010421146
Annual CO2 emissions of Brazil	1992	218.3833060858007
